question,biomistral_prediction,correct,score
"A 63-year-old man with chronic obstructive pulmonary disease comes to the urgent treatment center because of a 4day history of worsening shortness of breath. Use of his albuterol rescue inhaler has provided no improvement in his symptoms. Medical history otherwise is unremarkable. Additional medications are formoterol, budesonide, and tiotropium. The patient smoked two packs of cigarettes daily for 45 years but currently smokes only three to four cigarettes daily and says he is trying hard to quit. He appears anxious. He is 175 cm (5 ft 9 in) tall and weighs 100 kg (220 lb); BMI is 33 kg/m². Temperature is 37.2°C (99.0°F), pulse is 96/ min, respirations are 26/min, and blood pressure is 128/76 mm Hg. Pulse oximetry on room air discloses an oxygen saturation of 85%. Mild cyanosis is noted, but there is no clubbing or edema of the extremities. Auscultation of the lungs discloses diffuse expiratory wheezes. Cardiac examination discloses distant but regular heart sounds. Results of arterial blood gas analysis on room air are shown: PO2: 48 mm Hg PCO2: 55 mm Hg pH: 7.36 After an albuterol nebulizer treatment is administered, the patient reports feeling somewhat better but says he is feeling ""jittery"" and is starting to have a mild tremor. In addition to providing smoking cessation counseling and prescribing antibiotic and corticosteroid therapy, which of the following is the most appropriate next step in management?",C,F,False
"A 49-year-old man returns to the office for follow-up 2 weeks after he was evaluated for a 4-month history of intermittent diarrhea associated with cramping abdominal pain, urgency, and fecal incontinence. Since the onset of these symptoms, he has had four to five bowel movements daily that contain blood and mucus. Endoscopy done 1 week ago showed erythematous, inflamed mucosa of the rectum and sigmoid colon; there were no abnormalities of the ileum. He also had an episode of uveitis treated with intraocular corticosteroids 3 months ago. He takes no routine medications. He is 185 cm (6 ft 1 in) tall and weighs 77 kg (170 lb); BMI is 22 kg/m². Vital signs are temperature 37.3°C (99.2°F), pulse 88/min, respirations 18/min, and blood pressure 128/80 mm Hg. Skin examination shows raised, tender nodules that are 2 to 3 cm in diameter on the anterior surfaces of both lower extremities. Palpation of the abdomen discloses mild tenderness. Rectal examination discloses no fissures or ulcers. Test of the stool for occult blood is trace positive. This patient should be counseled that he is at greatest risk for which of the following?",A,A,True
"A 27-year-old man is examined in the intensive care unit 1 day after he sustained a closed head injury, liver laceration, and pelvic fracture in a motor vehicle collision. He is intubated and mechanically ventilated. He is receiving intravenous midazolam and 5% dextrose in lactated Ringer solution. Temperature is 37.8°C (100.0°F), pulse is 95/min, and blood pressure is 100/70 mm Hg. Cardiopulmonary examination shows no abnormalities. The abdomen is soft. He withdraws appropriately to painful stimuli. Laboratory studies show: Hematocrit: 28% Leukocyte count: 13,000/mm³ Serum Na⁺: 138 mEq/L K⁺: 3.5 mEq/L Cl⁻: 102 mEq/L HCO₃⁻: 24 mEq/L Urea nitrogen: 20 mg/dL Glucose: 220 mg/dL Creatinine: 1 mg/dL Which of the following is the most likely mechanism of these laboratory findings?",E,A,False
"A 72-year-old woman is evaluated in the acute rehabilitation facility where she has been receiving physical therapy since sustaining a stroke 2 weeks ago that resulted in moderate left hemiparesis. A swallowing study obtained on admission to the facility showed no abnormalities and she has been progressing well with her rehabilitation. She is able to walk with the aid of a walker and assistant, has no speech impairment, and tolerates a regular diet. Medical history also is notable for well-controlled hypertension and hyperlipidemia. Medications are lisinopril, simvastatin, and daily aspirin. Temperature is 37.0°C (98.6°F), pulse is 72/min and regular, respirations are 12/min, and blood pressure is 130/80 mm Hg. Cardiopulmonary examination shows no abnormalities. Cranial nerves are intact. Muscle strength in the extremities is 4/5 on the left and 5/5 on the right. Sensation is intact bilaterally. Standardized assessment of cognitive function shows no abnormalities. For the past 2 days, the patient has insisted that she is well enough to go home despite not being fully cleared to do so by her physical therapist and physiatrist, who want her to stay for 1 more week to try to advance from the walker to a cane. The patient lives with her daughter, son-in-law, and grandson, and has a bedroom on the main floor of the house with no need to use stairs. The daughter works as a stay-at-home mother. Which of the following is the most appropriate next step in management?",D,A,False
"A 46-year-old woman comes to the office for an annual health maintenance examination. She reports a 6-week history of fatigue, which she attributes to working full time and caring for her three children. Her blood pressure has been consistently high as measured at home with her husband's automated cuff, with many readings greater than 150/90 mm Hg. Medical history is unremarkable and routine preventive screenings, including mammography and Pap smear, have shown no abnormalities. Her only medications are a daily multivitamin and ibuprofen as needed. She is 165 cm (5 ft 5 in) tall and weighs 72 kg (158 lb); BMI is 26 kg/m². Pulse is 84/min, and blood pressure is 152/98 mm Hg. Physical examination shows trace edema of the ankles but no other abnormalities. Results of serum studies are shown: Urea nitrogen: 12 mg/dL Creatinine: 0.9 mg/dL Na⁺: 141 mEq/L K⁺: 3.1 mEq/L Cl⁻: 100 mEq/L HCO₃⁻: 23 mEq/L Which of the following is the most likely explanation for this patient's increased blood pressure?",E,C,False
"A 50-year-old woman is brought to the emergency department because of a 3-day history of severely painful lesions over her right leg and temperatures to 38.7°C (101.7°F). She has a 12-year history of type 2 diabetes mellitus. Her only medication is insulin. On arrival, temperature is 39.3°C (102.8°F). Examination of the right lower extremity shows exquisite tenderness to palpation, edema, and warmth. The extremity appears shiny and diffusely erythematous without sharp margins. The subcutaneous tissue is firm, and there are areas of notable skin breakdown with bullae containing thick purple fluid. Examination of the left lower extremity shows no abnormalities. Which of the following is the most likely diagnosis?",F,F,True
"A 37-year-old woman comes to the office for a routine health maintenance examination. For the past 6 years, she has worked in a paper mill factory that uses liquid chlorine to bleach the paper. The patient is concerned about her exposure to toxic substances. Vital signs are within normal limits. Examination shows no abnormalities. Which of the following is the most appropriate recommendation to address this patient's concerns?",B,D,False
"A 57-year-old man with alcohol use disorder comes to the emergency department because of a 3-day history of worsening abdominal pain and distention. Medical history is remarkable for alcoholic cirrhosis, hypertension, hyperlipidemia, and a laparoscopic cholecystectomy 10 years ago. The patient also has had several previous hospital admissions for similar episodes of abdominal pain and distention. The patient takes no medications but has been prescribed medications for hypertension in the past. He recently participated in an alcohol rehabilitation program but began drinking alcohol again 1 week ago. During the past 5 days, he has drunk 1 L of vodka daily. Pulse is 100/min, respirations are 16/min, and blood pressure is 165/85 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 100%. The patient appears jaundiced. Cardiopulmonary examination discloses no abnormalities. The abdomen is large, distended, and tense; a fluid wave is present. Palpation of the abdomen discloses a 2-cm–wide reducible umbilical hernia and diffuse tenderness without guarding. There is no tenderness to percussion. In addition to large-volume paracentesis and furosemide therapy, initiation of which of the following pharmacotherapies is most appropriate?",F,D,False
"A 48-year-old man is admitted to the hospital 2 hours after the onset of severe abdominal pain, nausea, and vomiting. The pain radiates to the back but improves when he bends forward. He has no history of serious illness and takes no medications. He does not smoke cigarettes. He drinks two 12oz beers weekly. He appears restless. He is 173 cm (5 ft 8 in) tall and weighs 90 kg (198 lb); BMI is 30 kg/m² . Temperature is 38.0°C (100.4°F), pulse is 110/min, respirations are 20/min, and blood pressure is 110/60 mm Hg. On pulmonary examination, decreased breath sounds are heard at the lung bases; there is dullness to percussion. Abdominal examination shows distention and severe tenderness to palpation of the epigastrium and left upper quadrant. Laboratory studies show: Hemoglobin: 13.5 g/dL Serum Urea nitrogen: 30 mg/dL Glucose: 120 mg/dL Creatinine: 1.2 mg/dL Cholesterol: 300 mg/dL Triglycerides: 1500 mg/dL Total bilirubin: 1.1 mg/dL Amylase: 300 U/L Administration of intravenous fluids and analgesics is begun. The patient’s abdominal pain, nausea, and vomiting decrease. Which of the following is the most appropriate next step in management? Choose one among the choices below.",F,C,False
"A 57-year-old man is admitted to the hospital 30 minutes after he was found wandering in the streets. Fingerstick blood glucose concentration obtained by paramedics prior to transport was 68 mg/dL. The patient's medical history is unknown. Temperature is 35.8°C (96.5°F), pulse is 80/min, respirations are 16/min, and blood pressure is 106/70 mm Hg. The patient appears disheveled and is not oriented to person, place, or time. Physical examination shows mild conjunctival icterus. Cardiopulmonary examination discloses no abnormalities. Abdominal examination discloses a small fluid wave. There is palmar erythema and 1+ pitting edema of the lower extremities. Gait is broad based and ataxic. The patient is unable to cooperate with ocular or neurologic examinations. ECG shows a regular sinus rhythm and no acute abnormalities. Results of toxicology screening are pending. The most appropriate initial step in management is to administer which of the following?",B,B,True
"Three days after an operation for uterine cancer, a hospitalized 67-year-old woman develops edema of the right lower extremity. Doppler ultrasonography shows a deep venous thrombosis (DVT). Review of the patient's record indicates that no DVT prophylaxis was initiated perioperatively. Which of the following is the best approach to prevent a similar adverse event in the future?",B,B,True
"A clinical trial is performed to assess the efficacy of aspirin in decreasing the risk for myocardial infarction. Twenty-two thousand male physicians with no history of coronary artery disease are randomly assigned to receive aspirin (325 mg/d) or a placebo. After following the subjects for 5 years, results show that the incidence of myocardial infarction is 1.2% in the aspirin group and 2.2% in the placebo group. The reduction in incidence is statistically significant. Which of the following is the most accurate interpretation of these results?",E,A,False
"An 18-year-old man is being prepared to undergo left temporal craniotomy for meningioma. General anesthesia has been administered. The surgeon reviews the patient's most recent MRI findings, which are hanging on a view box in the operating room, and prepares to clip the hair from the patient's right scalp. The circulating nurse is concerned because the signed operative consent form indicates a left temporal craniotomy. Which of the following is the most appropriate course of action for the circulating nurse?",D,C,False
"A 52-year-old man is brought to the emergency department because of a 2-day history of severe, progressive shortness of breath associated with exacerbation of his chronic cough. He has a 6week history of pneumonia, which has responded slowly to treatment. Prior to the onset of his current symptoms, he had minimally productive cough and mild shortness of breath after walking one or two blocks. He also has had a lowgrade fever for 6 days. He has no other history of serious illness. Current medications are erythromycin and an over-the-counter cough suppressant. He has smoked one pack of cigarettes daily for 20 years. On arrival, he appears ill. He is diaphoretic and in severe respiratory distress. Temperature is 38.1°C (100.6°F), pulse is 110/min, respirations are 36/min and shallow, and blood pressure is 70/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 83%. Examination shows perioral cyanosis. There is no jugular venous distention. Diffuse crackles and wheezes are heard throughout the lungs. Heart sounds are normal. While a blood sample is being taken, the patient's blood pressure decreases, and he stops breathing. He is intubated, and mechanical ventilation is begun. Laboratory studies show: Hematocrit: 42% Leukocyte count: 16,000/mm³ Segmented neutrophils: 85% Lymphocytes: 15% Platelet count: 200,000/mm³ Arterial blood gas analysis on an FIO2 of 1.0 shows: pH: 7.35 PCO₂: 42 mm Hg PO₂: 55 mm Hg Chest x-ray shows diffuse alveolar infiltrates bilaterally and no cardiomegaly. Following intravenous administration of fluids, his blood pressure increases to 118/80 mm Hg. Which of the following is the most appropriate next step in management?",E,E,True
"A 14-year-old boy is brought to the emergency department by his parents 30 minutes after the sudden onset of confusion, sweating, and pallor. He has enuresis treated with imipramine. His parents refilled his prescription for imipramine 3 days ago and noted today that the bottle is empty. On arrival, the patient is awake but confused. Temperature is 37.0°C (98.6°F), pulse is 80/min, respirations are 8/min, and blood pressure is 100/60 mm Hg. Examination shows dilated pupils and flushed skin. In addition to ensuring an adequate airway and establishing intravenous access, which of the following is the most appropriate initial step in management?",E,A,False
"A 65-year-old man with mild hypertension comes to the veterans’ administration outpatient clinic because he is concerned about having an abdominal aortic aneurysm. He says he feels well. His medications are metoprolol and lisinopril. His older brother, who was ""seemingly in good health,"" recently underwent emergency repair of a ruptured abdominal aortic aneurysm that had not been diagnosed previously. The patient retired from the military 15 years ago. He smoked one-half pack of cigarettes daily for 20 years but quit 20 years ago. He is 183 cm (6 ft 0 in) tall and weighs 84 kg (185 lb); BMI is 25 kg/m². Pulse is 72/min and regular, and blood pressure is 140/85 mm Hg. Abdominal examination shows no organomegaly or tenderness to palpation. The aortic pulsation is estimated at 3 cm in width. A midepigastric bruit is heard. The remainder of the examination shows no abnormalities. Which of the following is the most appropriate next step in diagnosis?",A,C,False
"A 57-year-old man comes to the physician because of a 1-month history of fatigue and moderate low back pain. He also has had a mildly decreased appetite resulting in a 1.8-kg (4-lb) weight loss during this period. He has a 1-week history of headache. He has had no fever, sweating, or chills. He has hypertension well controlled with triamterene-hydrochlorothiazide. Other medications include 81-mg aspirin, ibuprofen, and a daily multivitamin. He appears tired. Examination shows slightly pale conjunctivae. A grade 2/6 systolic flow murmur is heard best at the lower left sternal border. The remainder of the examination shows no abnormalities. Test of the stool for occult blood is negative. Laboratory studies show: Hematocrit: 32% Mean corpuscular volume: 102 μm³ Leukocyte count :9200/mm³ Segmented neutrophils: 66% Bands: 3% Lymphocytes: 31% Platelet count: 325,000/mm3 Red cell distribution width: 15.6% (N=13%–15%) Serum Ca²⁺: 10.8 mg/dL Urea nitrogen: 18 mg/dL Glucose: 108 mg/dL Creatinine: 1.5 mg/dL Albumin: 3 g/dL X-rays of the lumbosacral spine show mild osteopenia. Which of the following is the most appropriate next step in diagnosis?",B,A,False
